Intensity_microwatts,Intensity_Calculated_Using_Malus_Law_microwatts,Angle_Difference_degrees
0,0,90
1.6,1.93285150381164,100
6.3,7.49827559803675,110
13.2,16.025,120
21.6,26.4845759057749,130
30.9,37.6154240942251,140
39.8,48.075,150
46.9,56.6017244019632,160
51.4,62.1671484961884,170
53.2,64.1,180
51.6,62.1671484961884,190
47.2,56.6017244019632,200
39.9,48.075,210
30.9,37.6154240942251,220
21.4,26.4845759057749,230
13.4,16.025,240
5.7,7.49827559803675,250
1.4,1.93285150381164,260
0,0,270
